WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
space,5.57,space,3.129,Crickets,0,0,0,37,1,Initial/NoRepeat/Sleighbells_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Baby,0,1,1,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Clapping,0,2,2,3,1,Initial/Doubled/Clap_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Footsteps,0,3,3,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Writing,0,4,4,99,1,Initial/Doubled/Writing_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Gurgling,0,5,5,10,1,Initial/Doubled/Gargle_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Eating,0,6,6,83,1,Initial/Doubled/Chomp_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,7,7,75,1,Test/Foils/Robot.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,8,8,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Meowing,0,9,9,82,1,Initial/Doubled/Cat_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Helicopter,0,10,10,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Piano,0,11,11,9,1,Initial/Doubled/Piano_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Music,0,12,12,46,1,Initial/Repeat/Drum_B.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Birds,0,13,13,62,1,Test/Foils/Bird.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,14,14,61,1,Test/Foils/Axe.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,15,15,55,1,Initial/Repeat/Sealion.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,16,16,16,1,Initial/Doubled/Owl_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Vaccuum,0,17,17,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Car,0,18,18,81,1,Initial/Doubled/CarStart_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Mosquito,0,19,19,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Roar,0,20,20,12,1,Initial/Doubled/Growl_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Duck,0,21,21,90,1,Initial/Doubled/Geese_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Trumpet,0,22,22,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Door,0,23,23,86,1,Initial/Doubled/Creak.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Bowling,0,24,24,63,1,Test/Foils/Bowlingpins.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Slurping,0,25,25,97,1,Test/Foils/Slurp.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Elephant,0,26,26,26,1,Initial/NoRepeat/Elephant_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Siren,0,27,27,11,1,Initial/Doubled/Siren_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Typewriter,0,28,28,54,1,Initial/Repeat/Printer.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Bells,0,29,29,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,30,30,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Bells,0,31,31,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Heartbeat,0,32,32,71,1,Test/Foils/Heartbeat.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Donkey,0,33,33,68,1,Test/Foils/Donkey.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Galopping,0,34,34,69,1,Test/Foils/Gallop.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,35,35,78,1,Test/Foils/Cards.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Thunder,0,36,36,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,37,37,92,1,Test/Foils/Gulp.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Cough,0,38,38,85,1,Initial/Doubled/Cough_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Tap water,0,39,39,27,1,Initial/NoRepeat/Faucet_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Drink,0,40,40,47,1,Initial/Repeat/Cup.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,41,41,95,1,Test/Foils/PaperRip.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Snoring,0,42,42,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Dial sound,0,43,43,88,1,Test/Foils/DialTone.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,,0,44,44,51,1,Initial/Repeat/MetalBang.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Frog,0,45,45,65,1,Test/Foils/Bullfrog.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Bells,0,46,46,2,1,Initial/Doubled/Chime_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Vibrating,0,47,47,66,1,Test/Foils/Buzz.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Cow,0,48,48,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Sneeze,0,49,49,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Bark,0,50,50,7,1,Initial/Doubled/Dog_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Construction work,0,51,51,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Ice cubes,0,52,52,94,1,Initial/Repeat/IceDrop.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Wolf,0,53,53,48,1,Initial/Repeat/Howl.wav,Repeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Sheep,0,54,54,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Flush,0,55,55,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Saxophone,0,56,56,36,1,Initial/NoRepeat/Sax_A.wav,NoRepeat,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Train,0,57,57,98,1,Initial/Doubled/Train_A.wav,Extra,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Chicken,0,58,58,1,1,Initial/Doubled/Chicken_A.wav,Doubled,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
,,,,Horse,0,59,59,72,1,Test/Foils/Horse.wav,New,5eeb39b9fe8e6a01e7235c00,001,2021-01-04_06h42.04.679,GuessTheSound,2020.2.10,Win32,60
